Rs,Qs,Ns
34682;nononon ,What percentage of the U.S. land does Texas occupy?,10
34559;I think 8% sounds good ,What percentage of the U.S. land does Texas occupy?,10
29077;i think 10% is a good estimate ,What percentage of the U.S. land does Texas occupy?,10
34682;its significantly smaller than alaska ,What percentage of the U.S. land does Texas occupy?,10
26671;8 is good ,What percentage of the U.S. land does Texas occupy?,10
29541;10%,What percentage of the U.S. land does Texas occupy?,10
33524;8 is good ,What percentage of the U.S. land does Texas occupy?,10
34682;which is 12 ,What percentage of the U.S. land does Texas occupy?,10
34682;so 10 is dafe ,What percentage of the U.S. land does Texas occupy?,10
34682;10% ,What percentage of the U.S. land does Texas occupy?,10
34682;i  guessed 30 ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
29541;car accidents are highest ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
33524;25 ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34700;between 35 and 50 is good ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
29541;then smoking/lung disease ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34700;car accidents are not highest ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34682;car accidents are far from highest ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
33524;i agree car accidents are highest ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34700;heart diseases is the leading cause of death ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34682;ciggarette complications are way higher ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
33524;so 25-35 should be a good guess ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
"26671;heart disease includes all CHF, anomolies, etc...its definitely greater than 40% ","What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
"34691;heart disease would only be high for people over 50, so it cant be more than 30 ","What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
"34700;im a registered nurse on a coronary unit, i know the stats ","What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
29077;only for young people.. overall car accidents is not. heart disease is. i learned that in health ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
29541;,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
29077;,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34682;ok 34700 ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
29541;30% ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
27503;,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
33524;i go with the nurse ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34682;what is it 34007? ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
29541;i guess is okay ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34682;?? ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34700;=] ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
33524;what is teh statts again ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34682;what did nurse say?&gt; ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34682;? ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34559;I think it's one of the highest  ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
29077;35-50 ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
29541;yeah nurse here too ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
"34700;so whats it going to be folks, 45%&gt; ","What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34682;any londoners? ,What was the population of London in July 2010?,4
33524;i put in 10 million ,What was the population of London in July 2010?,4
34700;london is not that big? ,What was the population of London in July 2010?,4
29077;can't be larger than the u.s. which is about 240 mil ,What was the population of London in July 2010?,4
34682;hahaha ,What was the population of London in July 2010?,4
29077;i guessed 50 ,What was the population of London in July 2010?,4
34700;smaller population i would assume in 2010 summer ,What was the population of London in July 2010?,4
33524;a mega city by defination has to have &gt; 10mil ,What was the population of London in July 2010?,4
29541;yeah 10 mil ,What was the population of London in July 2010?,4
"26671;tokyo is 36, nyc 2nd  is 18mil, london no more than 18 ",What was the population of London in July 2010?,4
34682;one city cant have 1000 mill ,What was the population of London in July 2010?,4
"34691;if nyc has millions, london has to have at least 1 million ",What was the population of London in July 2010?,4
33524;lol ,What was the population of London in July 2010?,4
29541;10-20mil? ,What was the population of London in July 2010?,4
34682;london has a solid 18-22 ,What was the population of London in July 2010?,4
34700;so 2.4 mil? ,What was the population of London in July 2010?,4
26671;7,What was the population of London in July 2010?,4
34682;id say higher end of teen millions ,What was the population of London in July 2010?,4
33524;i say 10-15 ,What was the population of London in July 2010?,4
34700;*24 mil ,What was the population of London in July 2010?,4
34559;i say 18 ,What was the population of London in July 2010?,4
29541;16?  ,What was the population of London in July 2010?,4
34691;10-15 ,What was the population of London in July 2010?,4
33524;24 is way too high ,What was the population of London in July 2010?,4
26671;,What was the population of London in July 2010?,4
26671;no clue ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
29541;its the building in the uae ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
33524;ok the burj tower in dubai is the talles ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
29541;yep ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
34691;room heights are usually around 10ft ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
34682;burj kalifia ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
31607;i figured 600 stories is 6000 feet ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
"34700;dubai, yes ",How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
33524;it is either ikm or i mile long ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
29541;5k = 3 miles ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
"34700;5,280 ft = 1 mile ",How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
34700;a mile tall building? ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
34700;maybe half a mile ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
34682;i think so ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
34682;i think its a little under a mile tall ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
29541;kk thanks for the better ft to mile ratio haha ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
33524;a kilometer long....they use the metric system ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
34682;,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
26671;,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
33524;I say 1000 k,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
34691;how many floors would it have? ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
33524;1000 m ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
34682;yeah but it could be just 1 mile tall by chance and whatever fraction of a km... ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
34700;1000 sounds good ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
29077;so 3280 ft ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
34682;thats not logical ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
26671;,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
34682;,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
34700;3140* ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
"34700;opps, cant do math today ",How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
34700;800 ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
34682;wow ,What's the equatorial circumference of the Earth in miles? (1 km ~ 0.621 miles),5
33524;the radius of earth is 6400 km....so its circum must be around 35-36 k km ,What's the equatorial circumference of the Earth in miles? (1 km ~ 0.621 miles),5
34682;ok but in miles? ,What's the equatorial circumference of the Earth in miles? (1 km ~ 0.621 miles),5
29541;i dont remember the exact number but i know that its a random fact we learned in elementary school  ,What's the equatorial circumference of the Earth in miles? (1 km ~ 0.621 miles),5
"33524;yup....35, 000 * 0,62 miles",What's the equatorial circumference of the Earth in miles? (1 km ~ 0.621 miles),5
34682;33524... can u convert that two miles tho ,What's the equatorial circumference of the Earth in miles? (1 km ~ 0.621 miles),5
"26671;7500 looks good, sydney to lax is 10 hr flight at 500 mph with the pacific ",What's the equatorial circumference of the Earth in miles? (1 km ~ 0.621 miles),5
33524;,What's the equatorial circumference of the Earth in miles? (1 km ~ 0.621 miles),5
29541;no clue  ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
33524;no idea about this. ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34700;none ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
33524;lol ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34682;i think you guys are way way high ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34700;the us is pretty big ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34700;add in hawaii and alaska too ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34682;i mean in the estimates! ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34700;alaska is hugeeeeee ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
29077;k... so philly to nc is about 500-600 miles.... ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
33524;estimates plz ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
"26671;3000 mi coast to coast, mexico,to can 1000 mi plus alaska about 3500000 sq mi ",What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
26671;? ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
29077;so that's distance in one directio,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
29541;35mil? ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
"34691;but then turned into square miles, its a big number ",What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34682;then the north south anyone know? ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34682;70???!? ,What is the divorce rate in America for first marriages?,15
33524;1 in 3 marriages fail ,What is the divorce rate in America for first marriages?,15
29541;wow those are some pretty high averages ,What is the divorce rate in America for first marriages?,15
29077;i tihnk 50-60 range ,What is the divorce rate in America for first marriages?,15
34700;it is high between 50 and 52 ,What is the divorce rate in America for first marriages?,15
31607;its more than fifty ,What is the divorce rate in America for first marriages?,15
33524;read it somewhere ,What is the divorce rate in America for first marriages?,15
34700;51  ,What is the divorce rate in America for first marriages?,15
33524;Id say 33-45 ,What is the divorce rate in America for first marriages?,15
34559;definitely over 50 ,What is the divorce rate in America for first marriages?,15
34682;its def 55 ,What is the divorce rate in America for first marriages?,15
34691;but would first marriages have a higher rate of failing than 1 in 3 ,What is the divorce rate in America for first marriages?,15
26671;3/4 of second marriages end in divorce in the US ,What is the divorce rate in America for first marriages?,15
31607;yes ,What is the divorce rate in America for first marriages?,15
34700;1/2 end in divorce ,What is the divorce rate in America for first marriages?,15
26671;55 sounds good ,What is the divorce rate in America for first marriages?,15
34691;over 50 ,What is the divorce rate in America for first marriages?,15
29541;i think 50-60 is good  ,What is the divorce rate in America for first marriages?,15
34682;this is sepressing ,What is the divorce rate in America for first marriages?,15
34700;.. ,What is the divorce rate in America for first marriages?,15
34700;*... ,What is the divorce rate in America for first marriages?,15
29541;hahahaha  ,What is the divorce rate in America for first marriages?,15
33524;isnt that way too high? ,What is the divorce rate in America for first marriages?,15
34682;,What is the divorce rate in America for first marriages?,15
33524;55,What is the divorce rate in America for first marriages?,15
26671;,What is the divorce rate in America for first marriages?,15
34691;55 ,What is the divorce rate in America for first marriages?,15
34700;51 last offer ,What is the divorce rate in America for first marriages?,15
34682;nope bc the world is sad ,What is the divorce rate in America for first marriages?,15
26671;tell that to women ,What is the divorce rate in America for first marriages?,15
31607;i just know more than half ,What is the divorce rate in America for first marriages?,15
33524;lol ,What is the divorce rate in America for first marriages?,15
34700;=/ sad day ,What is the divorce rate in America for first marriages?,15
34700;but 51 is right ,What is the divorce rate in America for first marriages?,15
34682;,What is the divorce rate in America for first marriages?,15
29541;okay 51 th,What is the divorce rate in America for first marriages?,15
33524;lol,What is the divorce rate in America for first marriages?,15
34682;55 ,What is the divorce rate in America for first marriages?,15
34682;5 ,What is the divorce rate in America for first marriages?,15
34682;5 ,What is the divorce rate in America for first marriages?,15
34682;55 ,What is the divorce rate in America for first marriages?,15
34682;55 5,What is the divorce rate in America for first marriages?,15
33524;55 ,What is the divorce rate in America for first marriages?,15
34682;5 ,What is the divorce rate in America for first marriages?,15
34682;5 ,What is the divorce rate in America for first marriages?,15
34682;5 5,What is the divorce rate in America for first marriages?,15
34682; 5,What is the divorce rate in America for first marriages?,15
26671;economist subscribers? ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
"34700;poverty line is 13,000 ",What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
29541;im pretty sure its around 35000 ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
33524;its between 2000-3000 ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
34682;whartonites? ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
"34700;persons in us are 300,000,000 ",What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
"34691;there are outliers on either end, but id say somewhere between 20,000-45,000 ",What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
34700;ish ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
31607;two guesses say 35000 ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
33524;35k is too high ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
29541;ohhh per capita ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
29541;sorry i read average ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
33524;between 2-3k ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
34700;are we counting people under 18 without jobs ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
34700;aka kids? ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
26671;no? ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
34559;i think yes ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
33524;yes ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
33524;no kids ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
"34691;could be too high, but think of all the people who make in the millions and drive the average up ",What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
34682;i think its just gdp/pop ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
34682;,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
29541;so its probably highter than 2-3 k for sure ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
33524;but there are a lot of poor people as well ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
34700;the 1% of incomes ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
29541;exactly ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
34682;5% of americans make millions ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
34559;but i lot have no jobs ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
33524;thats it.. ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
34700;we dont have a lot of millionaires ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
27503;it's not income at all though ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
29541;so the us total money made divided by people  ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
33524;the per capita gdp is less t,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
29541;but we have alot of people in ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
34682;yeah thats ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
31607;but its an average it doesnt actually,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
27503;It's the amount of product that we make ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
34682;50?!?!? ,What percentage of Americans was not medically insured in 2010?,9
29541;i think its around 30% ,What percentage of Americans was not medically insured in 2010?,9
26671;40 % Im positive ,What percentage of Americans was not medically insured in 2010?,9
33524;no idea ,What percentage of Americans was not medically insured in 2010?,9
34700;only 25% of people in the us have a bach degree ,What percentage of Americans was not medically insured in 2010?,9
29541;30-40 -- there's some debates ,What percentage of Americans was not medically insured in 2010?,9
34700;so maybe that correlates with insurance ,What percentage of Americans was not medically insured in 2010?,9
34682;ohhhh america is so screwed ,What percentage of Americans was not medically insured in 2010?,9
34691;if unemployment is 10% ,What percentage of Americans was not medically insured in 2010?,9
34682;no bc there are hmo's ,What percentage of Americans was not medically insured in 2010?,9
33524;50 sounds way too high ,What percentage of Americans was not medically insured in 2010?,9
"34559;a lot of people are unemployed, don't have benefits etc ",What percentage of Americans was not medically insured in 2010?,9
34691;50 is way too high ,What percentage of Americans was not medically insured in 2010?,9
33524;so estimate? ,What percentage of Americans was not medically insured in 2010?,9
34682;i think its like 12 ,What percentage of Americans was not medically insured in 2010?,9
29541;we can go with the higher 40% if you guys prefer  ,What percentage of Americans was not medically insured in 2010?,9
33524;nah 12 is too low....,What percentage of Americans was not medically insured in 2010?,9
29077;,What percentage of Americans was not medically insured in 2010?,9
34682;im pretty sure its ,What percentage of Americans was not medically insured in 2010?,9
26671;,What percentage of Americans was not medically insured in 2010?,9
29541;nono its higher than 12 ,What percentage of Americans was not medically insured in 2010?,9
29077;i think 20-30... ,What percentage of Americans was not medically insured in 2010?,9
34682;12-18 ,What percentage of Americans was not medically insured in 2010?,9
34559;i think it's way high than 12 ,What percentage of Americans was not medically insured in 2010?,9
29541;its def higher than 20 ,What percentage of Americans was not medically insured in 2010?,9
29077;it's really not that high at all ,What percentage of Americans was not medically insured in 2010?,9
31607;i agree with 40 ,What percentage of Americans was not medically insured in 2010?,9
33524;prolly 30 ,What percentage of Americans was not medically insured in 2010?,9
34682;i think u guys are being ridiculous ,What percentage of Americans was not medically insured in 2010?,9
26671;its 40 ,What percentage of Americans was not medically insured in 2010?,9
"34691;no, around 15 then ",What percentage of Americans was not medically insured in 2010?,9
34700;private or public insurance? ,What percentage of Americans was not medically insured in 2010?,9
29541;30-40 for sure ,What percentage of Americans was not medically insured in 2010?,9
34559;40  ,What percentage of Americans was not medically insured in 2010?,9
29541;40 then ,What percentage of Americans was not medically insured in 2010?,9
34691;either private or public i think ,What percentage of Americans was not medically insured in 2010?,9
33524;both i gues,What percentage of Americans was not medically insured in 2010?,9
34682;everyoneone ,What percentage of Americans was not medically insured in 2010?,9
34700;40 ,What percentage of Americans was not medically insured in 2010?,9
34700;i see a few 300s ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
33524;its 300..the maglev train ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
29541;japanese bullet trains ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
26671;isnt it acela in france? ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
34700;bullet trains ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
33524;faster than the bullet train...sure about it ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
34682;the speed of sound is343 in mph ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
34682;right?] ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
33524;yup 300...maglev.. ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
"34691;if most cars can reach 120, a train should be able to go significantly faster ",What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
34700;no way they are breaking the sound barrier ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
29077;yeah. speed of sound is 343 ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
34682;but i might have made up the speed of sound ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
34700;plane commerical is 500ish? ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
26671;300,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
29077;no way they're even close to sound barrier ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
27503;commercial planes definitely don't break the sound barrier ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
33524;not breaking the sound barrrier....i know this fact...its the train in mi,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
34682;yeah but its 343 m/s for sound barrier ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
33524;mission imposs 1 ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
27503;Sound is like 750 mph ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
34700;so 300? ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
33524;300 mph ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
33524;maglev ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
34559;300 ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
29541;300 okay ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
34682;340 ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
34682;go lil higher guys ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
33524;,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
34682;,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
29541;i think 70 ,What percentage of Americans has a pet?,16
26671;1/3 ppl has a pet ,What percentage of Americans has a pet?,16
34682;wow i said lowest at 25 ,What percentage of Americans has a pet?,16
"34700;so 300,000,000 in the us ",What percentage of Americans has a pet?,16
31607;i thought 2/3 people have a pet ,What percentage of Americans has a pet?,16
34682;i have no idea ,What percentage of Americans has a pet?,16
33524;around 30 % ,What percentage of Americans has a pet?,16
34691;1/3 seems low ,What percentage of Americans has a pet?,16
34700;what baby has a pet ,What percentage of Americans has a pet?,16
26671;30 ,What percentage of Americans has a pet?,16
34559;i think at leats half ,What percentage of Americans has a pet?,16
33524;150 % if it includes farmville pers ,What percentage of Americans has a pet?,16
34691;both singles and families get pets ,What percentage of Americans has a pet?,16
33524;*pets ,What percentage of Americans has a pet?,16
"29541;since there's fish, dogs, cats, reptiles, bugs etc  ",What percentage of Americans has a pet?,16
34700;so 36%? ,What percentage of Americans has a pet?,16
34559;babies have family pets ,What percentage of Americans has a pet?,16
34700;pet rocks? ,What percentage of Americans has a pet?,16
34682;id go w 48 ,What percentage of Americans has a pet?,16
33524;36 - sounds good ,What percentage of Americans has a pet?,16
34682;48.25 ,What percentage of Americans has a pet?,16
29541;i think above 50 ,What percentage of Americans has a pet?,16
34691;48 ,What percentage of Americans has a pet?,16
34682;,What percentage of Americans has a pet?,16
31607;,What percentage of Americans has a pet?,16
33524;,What percentage of Americans has a pet?,16
26671;in this room who has a pet ,What percentage of Americans has a pet?,16
29541;me ,What percentage of Americans has a pet?,16
33524;36-50 ,What percentage of Americans has a pet?,16
34700;average seems to be in the 40s ,What percentage of Americans has a pet?,16
34559;i still think over half ,What percentage of Americans has a pet?,16
26671;? ,What percentage of Americans has a pet?,16
29077;me ,What percentage of Americans has a pet?,16
31607;me ,What percentage of Americans has a pet?,16
34682;thats not how it works ,What percentage of Americans has a pet?,16
26671;2/9 ,What percentage of Americans has a pet?,16
34700;me ,What percentage of Americans has a pet?,16
33524;lol ,What percentage of Americans has a pet?,16
